"outcomeId","outcomeName","targetPersons","comparatorPersons","targetExposures","comparatorExposures","targetDays","comparatorDays","totalOutcomes","mdrr","se","analysisId","negativeControl"
4021807,"Interpersonal relationship finding",3931,69522,3931,69522,5626078,116902517,24,12.6916469946562,0.906966542973528,10,"No"
4059015,"Falls",3712,68245,3712,68245,5401653,115399646,1929,1.33426974948439,0.102936057841415,10,"No"
4114472,"Ear problem",3898,69031,3898,69031,5584964,116097890,318,2.01067330587001,0.249312296305449,10,"No"
4142479,"Hyperthyroidism",3876,69131,3876,69131,5556230,116289181,187,2.49361343729746,0.326148507731639,10,"No"
4168212,"Restlessness and agitation",3919,69455,3919,69455,5612870,116836253,153,2.73821118839598,0.359548176417103,10,"No"
4168681,"Irritability and anger",3933,69534,3933,69534,5630769,116930459,5,261.411114182373,1.98676602168398,10,"No"
4176908,"Snapping thumb syndrome",3916,69295,3916,69295,5606954,116513156,88,3.77081900666551,0.473764714502386,10,"No"
4185711,"Loss of sense of smell",3928,69438,3928,69438,5618424,116762797,46,6.26511701916463,0.654985347062954,10,"No"
4195873,"Breath smells unpleasant",3930,69472,3930,69472,5627235,116827567,22,14.2019396654947,0.947098997483865,10,"No"
4216771,"Impotence",3867,67460,3867,67460,5523965,113481856,284,2.08372265306313,0.262050222975666,10,"No"
4264617,"Foot-drop",3924,69450,3924,69450,5615253,116805547,79,4.05917505718729,0.50006680361732,10,"No"
4311629,"Impaired glucose tolerance",3829,68414,3829,68414,5456466,115085042,1067,1.46642388379945,0.136646460834282,10,"No"
4344500,"Impingement syndrome of shoulder region",3918,69426,3918,69426,5606482,116743292,94,3.61475444684331,0.458677436906509,10,"No"
