"COHORT_DEFINITION_ID","COHORT_OF_INTEREST","T2DM","CENSOR","FULL_NAME","TARGET_COHORT","COMPARATOR_COHORT","OUTCOME_COHORT","NEGATIVE_CONTROL","EXPOSURE_COHORT","FU_STRAT_ITT_PP0DAY","COHORT_DESCRIPTION"
104,"Canagliflozin","NARROW",90,"Canagliflozin-NARROW-90",1,0,0,0,1,1,"COHORT 104:  This cohort is selected by looking for patient's first exposure to Canagliflozin drugs.  If that exposure occurs after April 1, 2013, the patient has 365 days of observable time prior to the first exposure, and there is a diagnosis of Type II Diabetes (T2DM) prior to index the patient is kept. This cohort uses the NARROW T2DM definition (patients are excluded if they are already known to have Type I Diabetes (T1DM) and/or secondary diabetes mellitus (SDM) prior to or any time after index, they are excluded if they took insulin monotherapy prior to exposure, and kept only if they were >= 40 years of age at first exposure) The cohort censors at the first occurrence of either (a) a persistence window of 90 or (b) the individual switched to another drug (SGLT2i, SU, DPP-4i, TZDs, Insulin, Repaglinide, Nateglinide, GLP-1a, Metformin excluding concepts from the exposure drug of interest Canagliflozin)."
105,"Canagliflozin","NARROW",120,"Canagliflozin-NARROW-120",1,0,0,0,1,0,"COHORT 105:  This cohort is selected by looking for patient's first exposure to Canagliflozin drugs.  If that exposure occurs after April 1, 2013, the patient has 365 days of observable time prior to the first exposure, and there is a diagnosis of Type II Diabetes (T2DM) prior to index the patient is kept. This cohort uses the NARROW T2DM definition (patients are excluded if they are already known to have Type I Diabetes (T1DM) and/or secondary diabetes mellitus (SDM) prior to or any time after index, they are excluded if they took insulin monotherapy prior to exposure, and kept only if they were >= 40 years of age at first exposure) The cohort censors at the first occurrence of either (a) a persistence window of 120 or (b) the individual switched to another drug (SGLT2i, SU, DPP-4i, TZDs, Insulin, Repaglinide, Nateglinide, GLP-1a, Metformin excluding concepts from the exposure drug of interest Canagliflozin)."
124,"Empagliflozin","NARROW",90,"Empagliflozin-NARROW-90",1,0,0,0,1,1,"COHORT 124:  This cohort is selected by looking for patient's first exposure to Empagliflozin drugs.  If that exposure occurs after April 1, 2013, the patient has 365 days of observable time prior to the first exposure, and there is a diagnosis of Type II Diabetes (T2DM) prior to index the patient is kept. This cohort uses the NARROW T2DM definition (patients are excluded if they are already known to have Type I Diabetes (T1DM) and/or secondary diabetes mellitus (SDM) prior to or any time after index, they are excluded if they took insulin monotherapy prior to exposure, and kept only if they were >= 40 years of age at first exposure) The cohort censors at the first occurrence of either (a) a persistence window of 90 or (b) the individual switched to another drug (SGLT2i, SU, DPP-4i, TZDs, Insulin, Repaglinide, Nateglinide, GLP-1a, Metformin excluding concepts from the exposure drug of interest Empagliflozin)."
125,"Empagliflozin","NARROW",120,"Empagliflozin-NARROW-120",1,0,0,0,1,0,"COHORT 125:  This cohort is selected by looking for patient's first exposure to Empagliflozin drugs.  If that exposure occurs after April 1, 2013, the patient has 365 days of observable time prior to the first exposure, and there is a diagnosis of Type II Diabetes (T2DM) prior to index the patient is kept. This cohort uses the NARROW T2DM definition (patients are excluded if they are already known to have Type I Diabetes (T1DM) and/or secondary diabetes mellitus (SDM) prior to or any time after index, they are excluded if they took insulin monotherapy prior to exposure, and kept only if they were >= 40 years of age at first exposure) The cohort censors at the first occurrence of either (a) a persistence window of 120 or (b) the individual switched to another drug (SGLT2i, SU, DPP-4i, TZDs, Insulin, Repaglinide, Nateglinide, GLP-1a, Metformin excluding concepts from the exposure drug of interest Empagliflozin)."
200,"DKA (IP & ER)",NA,0,NA,0,0,1,0,0,0,"COHORT 200:  This cohort will look for all occurrences of diabetic ketoacidosis events.  We will look for those DKA events during an emergency room visit and/or an inpatient visit.  To limit the events brought back we will only pull events that are outside 30 days of each other."
201,"DKA (IP)",NA,0,NA,0,0,1,0,0,0,"COHORT 201:  This cohort will look for all occurrences of diabetic ketoacidosis events.  We will look for the DKA occurrence during an inpatient visit.  To limit the events brought back we will only pull events that are outside 30 days of each other."
31057,"Disorder of pharynx",NA,0,NA,0,0,0,1,0,0,NA
73562,"Solitary sacroiliitis",NA,0,NA,0,0,0,1,0,0,NA
78619,"Contusion of knee",NA,0,NA,0,0,0,1,0,0,NA
132466,"Lumbar sprain",NA,0,NA,0,0,0,1,0,0,NA
133141,"Tinea pedis",NA,0,NA,0,0,0,1,0,0,NA
133228,"Dental caries",NA,0,NA,0,0,0,1,0,0,NA
60,"Insulin","BROAD",60,"Insulin-BROAD-60",0,1,0,0,1,0,"COHORT 60:  This cohort is selected by looking for patient's first exposure to Insulin drugs.  If that exposure occurs after April 1, 2013, the patient has 365 days of observable time prior to the first exposure, and there is a diagnosis of Type II Diabetes (T2DM) prior to index the patient is kept. This cohort uses the BROAD T2DM definition (patients are excluded if they are already known to have Type I Diabetes (T1DM) and/or secondary diabetes mellitus (SDM) prior to or on the index) The cohort censors at the first occurrence of either (a) a persistence window of 60 or (b) the individual switched to another drug (SGLT2i, SU, DPP-4i, TZDs, Insulin, Repaglinide, Nateglinide, GLP-1a, Metformin excluding concepts from the exposure drug of interest Insulin)."
61,"Insulin","BROAD",90,"Insulin-BROAD-90",0,1,0,0,1,1,"COHORT 61:  This cohort is selected by looking for patient's first exposure to Insulin drugs.  If that exposure occurs after April 1, 2013, the patient has 365 days of observable time prior to the first exposure, and there is a diagnosis of Type II Diabetes (T2DM) prior to index the patient is kept. This cohort uses the BROAD T2DM definition (patients are excluded if they are already known to have Type I Diabetes (T1DM) and/or secondary diabetes mellitus (SDM) prior to or on the index) The cohort censors at the first occurrence of either (a) a persistence window of 90 or (b) the individual switched to another drug (SGLT2i, SU, DPP-4i, TZDs, Insulin, Repaglinide, Nateglinide, GLP-1a, Metformin excluding concepts from the exposure drug of interest Insulin)."
62,"Insulin","BROAD",120,"Insulin-BROAD-120",0,1,0,0,1,0,"COHORT 62:  This cohort is selected by looking for patient's first exposure to Insulin drugs.  If that exposure occurs after April 1, 2013, the patient has 365 days of observable time prior to the first exposure, and there is a diagnosis of Type II Diabetes (T2DM) prior to index the patient is kept. This cohort uses the BROAD T2DM definition (patients are excluded if they are already known to have Type I Diabetes (T1DM) and/or secondary diabetes mellitus (SDM) prior to or on the index) The cohort censors at the first occurrence of either (a) a persistence window of 120 or (b) the individual switched to another drug (SGLT2i, SU, DPP-4i, TZDs, Insulin, Repaglinide, Nateglinide, GLP-1a, Metformin excluding concepts from the exposure drug of interest Insulin)."
63,"Insulin","NARROW",60,"Insulin-NARROW-60",0,1,0,0,1,0,"COHORT 63:  This cohort is selected by looking for patient's first exposure to Insulin drugs.  If that exposure occurs after April 1, 2013, the patient has 365 days of observable time prior to the first exposure, and there is a diagnosis of Type II Diabetes (T2DM) prior to index the patient is kept. This cohort uses the NARROW T2DM definition (patients are excluded if they are already known to have Type I Diabetes (T1DM) and/or secondary diabetes mellitus (SDM) prior to or any time after index, they are excluded if they took insulin monotherapy prior to exposure, and kept only if they were >= 40 years of age at first exposure) The cohort censors at the first occurrence of either (a) a persistence window of 60 or (b) the individual switched to another drug (SGLT2i, SU, DPP-4i, TZDs, Insulin, Repaglinide, Nateglinide, GLP-1a, Metformin excluding concepts from the exposure drug of interest Insulin)."
64,"Insulin","NARROW",90,"Insulin-NARROW-90",0,1,0,0,1,1,"COHORT 64:  This cohort is selected by looking for patient's first exposure to Insulin drugs.  If that exposure occurs after April 1, 2013, the patient has 365 days of observable time prior to the first exposure, and there is a diagnosis of Type II Diabetes (T2DM) prior to index the patient is kept. This cohort uses the NARROW T2DM definition (patients are excluded if they are already known to have Type I Diabetes (T1DM) and/or secondary diabetes mellitus (SDM) prior to or any time after index, they are excluded if they took insulin monotherapy prior to exposure, and kept only if they were >= 40 years of age at first exposure) The cohort censors at the first occurrence of either (a) a persistence window of 90 or (b) the individual switched to another drug (SGLT2i, SU, DPP-4i, TZDs, Insulin, Repaglinide, Nateglinide, GLP-1a, Metformin excluding concepts from the exposure drug of interest Insulin)."
65,"Insulin","NARROW",120,"Insulin-NARROW-120",0,1,0,0,1,0,"COHORT 65:  This cohort is selected by looking for patient's first exposure to Insulin drugs.  If that exposure occurs after April 1, 2013, the patient has 365 days of observable time prior to the first exposure, and there is a diagnosis of Type II Diabetes (T2DM) prior to index the patient is kept. This cohort uses the NARROW T2DM definition (patients are excluded if they are already known to have Type I Diabetes (T1DM) and/or secondary diabetes mellitus (SDM) prior to or any time after index, they are excluded if they took insulin monotherapy prior to exposure, and kept only if they were >= 40 years of age at first exposure) The cohort censors at the first occurrence of either (a) a persistence window of 120 or (b) the individual switched to another drug (SGLT2i, SU, DPP-4i, TZDs, Insulin, Repaglinide, Nateglinide, GLP-1a, Metformin excluding concepts from the exposure drug of interest Insulin)."
70,"Metformin","BROAD",60,"Metformin-BROAD-60",0,1,0,0,1,0,"COHORT 70:  This cohort is selected by looking for patient's first exposure to Metformin drugs.  If that exposure occurs after April 1, 2013, the patient has 365 days of observable time prior to the first exposure, and there is a diagnosis of Type II Diabetes (T2DM) prior to index the patient is kept. This cohort uses the BROAD T2DM definition (patients are excluded if they are already known to have Type I Diabetes (T1DM) and/or secondary diabetes mellitus (SDM) prior to or on the index) The cohort censors at the first occurrence of either (a) a persistence window of 60 or (b) the individual switched to another drug (SGLT2i, SU, DPP-4i, TZDs, Insulin, Repaglinide, Nateglinide, GLP-1a, Metformin excluding concepts from the exposure drug of interest Metformin)."
71,"Metformin","BROAD",90,"Metformin-BROAD-90",0,1,0,0,1,1,"COHORT 71:  This cohort is selected by looking for patient's first exposure to Metformin drugs.  If that exposure occurs after April 1, 2013, the patient has 365 days of observable time prior to the first exposure, and there is a diagnosis of Type II Diabetes (T2DM) prior to index the patient is kept. This cohort uses the BROAD T2DM definition (patients are excluded if they are already known to have Type I Diabetes (T1DM) and/or secondary diabetes mellitus (SDM) prior to or on the index) The cohort censors at the first occurrence of either (a) a persistence window of 90 or (b) the individual switched to another drug (SGLT2i, SU, DPP-4i, TZDs, Insulin, Repaglinide, Nateglinide, GLP-1a, Metformin excluding concepts from the exposure drug of interest Metformin)."
72,"Metformin","BROAD",120,"Metformin-BROAD-120",0,1,0,0,1,0,"COHORT 72:  This cohort is selected by looking for patient's first exposure to Metformin drugs.  If that exposure occurs after April 1, 2013, the patient has 365 days of observable time prior to the first exposure, and there is a diagnosis of Type II Diabetes (T2DM) prior to index the patient is kept. This cohort uses the BROAD T2DM definition (patients are excluded if they are already known to have Type I Diabetes (T1DM) and/or secondary diabetes mellitus (SDM) prior to or on the index) The cohort censors at the first occurrence of either (a) a persistence window of 120 or (b) the individual switched to another drug (SGLT2i, SU, DPP-4i, TZDs, Insulin, Repaglinide, Nateglinide, GLP-1a, Metformin excluding concepts from the exposure drug of interest Metformin)."
73,"Metformin","NARROW",60,"Metformin-NARROW-60",0,1,0,0,1,0,"COHORT 73:  This cohort is selected by looking for patient's first exposure to Metformin drugs.  If that exposure occurs after April 1, 2013, the patient has 365 days of observable time prior to the first exposure, and there is a diagnosis of Type II Diabetes (T2DM) prior to index the patient is kept. This cohort uses the NARROW T2DM definition (patients are excluded if they are already known to have Type I Diabetes (T1DM) and/or secondary diabetes mellitus (SDM) prior to or any time after index, they are excluded if they took insulin monotherapy prior to exposure, and kept only if they were >= 40 years of age at first exposure) The cohort censors at the first occurrence of either (a) a persistence window of 60 or (b) the individual switched to another drug (SGLT2i, SU, DPP-4i, TZDs, Insulin, Repaglinide, Nateglinide, GLP-1a, Metformin excluding concepts from the exposure drug of interest Metformin)."
440329,"Herpes zoster without complication",NA,0,NA,0,0,0,1,0,0,NA
440374,"Obsessive-compulsive disorder",NA,0,NA,0,0,0,1,0,0,NA
441788,"Human papilloma virus infection",NA,0,NA,0,0,0,1,0,0,NA
442077,"Anxiety disorder",NA,0,NA,0,0,0,1,0,0,NA
443617,"Conduct disorder",NA,0,NA,0,0,0,1,0,0,NA
444100,"Mood disorder",NA,0,NA,0,0,0,1,0,0,NA
4002650,"Plantar fasciitis",NA,0,NA,0,0,0,1,0,0,NA
10,"SGLT2i","BROAD",60,"SGLT2i-BROAD-60",1,0,0,0,1,0,"COHORT 10:  This cohort is selected by looking for patient's first exposure to SGLT2i drugs.  If that exposure occurs after April 1, 2013, the patient has 365 days of observable time prior to the first exposure, and there is a diagnosis of Type II Diabetes (T2DM) prior to index the patient is kept. This cohort uses the BROAD T2DM definition (patients are excluded if they are already known to have Type I Diabetes (T1DM) and/or secondary diabetes mellitus (SDM) prior to or on the index) The cohort censors at the first occurrence of either (a) a persistence window of 60 or (b) the individual switched to another drug (SGLT2i, SU, DPP-4i, TZDs, Insulin, Repaglinide, Nateglinide, GLP-1a, Metformin excluding concepts from the exposure drug of interest SGLT2i)."
11,"SGLT2i","BROAD",90,"SGLT2i-BROAD-90",1,0,0,0,1,1,"COHORT 11:  This cohort is selected by looking for patient's first exposure to SGLT2i drugs.  If that exposure occurs after April 1, 2013, the patient has 365 days of observable time prior to the first exposure, and there is a diagnosis of Type II Diabetes (T2DM) prior to index the patient is kept. This cohort uses the BROAD T2DM definition (patients are excluded if they are already known to have Type I Diabetes (T1DM) and/or secondary diabetes mellitus (SDM) prior to or on the index) The cohort censors at the first occurrence of either (a) a persistence window of 90 or (b) the individual switched to another drug (SGLT2i, SU, DPP-4i, TZDs, Insulin, Repaglinide, Nateglinide, GLP-1a, Metformin excluding concepts from the exposure drug of interest SGLT2i)."
12,"SGLT2i","BROAD",120,"SGLT2i-BROAD-120",1,0,0,0,1,0,"COHORT 12:  This cohort is selected by looking for patient's first exposure to SGLT2i drugs.  If that exposure occurs after April 1, 2013, the patient has 365 days of observable time prior to the first exposure, and there is a diagnosis of Type II Diabetes (T2DM) prior to index the patient is kept. This cohort uses the BROAD T2DM definition (patients are excluded if they are already known to have Type I Diabetes (T1DM) and/or secondary diabetes mellitus (SDM) prior to or on the index) The cohort censors at the first occurrence of either (a) a persistence window of 120 or (b) the individual switched to another drug (SGLT2i, SU, DPP-4i, TZDs, Insulin, Repaglinide, Nateglinide, GLP-1a, Metformin excluding concepts from the exposure drug of interest SGLT2i)."
