"targetId","targetName","comparatorId","comparatorName","nestingId","nestingName","outcomeId","outcomeName","type"
1363053,"Doxazosin",913782,"tolterodine",37622529,"Hypertension",3,"Inflammatory Bowel Disease","Exposure control"
989482,"Dutasteride",1341238,"Terazosin",37119607,"Benign prostatic hyperplasia",3,"Inflammatory Bowel Disease","Exposure control"
996416,"Finasteride",989482,"Dutasteride",37119607,"Benign prostatic hyperplasia",3,"Inflammatory Bowel Disease","Exposure control"
1550023,"Insulin Lispro",1502905,"Insulin Glargine",35506622,"Type 2 diabetes mellitus",3,"Inflammatory Bowel Disease","Exposure control"
1347384,"irbesartan",1334456,"Ramipril",37622529,"Hypertension",3,"Inflammatory Bowel Disease","Exposure control"
1386957,"Labetalol",1313200,"Nadolol",37622529,"Hypertension",3,"Inflammatory Bowel Disease","Exposure control"
989878,"Lidocaine",732893,"Bupivacaine",37522270,"Surgery",3,"Inflammatory Bowel Disease","Exposure control"
1102527,"Meperidine",965748,"Scopolamine",36803580,"Delivery",3,"Inflammatory Bowel Disease","Exposure control"
1114122,"Nalbuphine",989878,"Lidocaine",37522270,"Surgery",3,"Inflammatory Bowel Disease","Exposure control"
753626,"Propofol",708298,"Midazolam",37522270,"Surgery",3,"Inflammatory Bowel Disease","Exposure control"
1513103,"Raloxifene",1598819,"Clomiphene",35506596,"Polycystic ovaries",3,"Inflammatory Bowel Disease","Exposure control"
965748,"Scopolamine",704599,"Triazolam",436962,"Insomnia",3,"Inflammatory Bowel Disease","Exposure control"
916005,"Solifenacin",913782,"tolterodine",36718449,"Urinary incontinence",3,"Inflammatory Bowel Disease","Exposure control"
924566,"tamsulosin",916005,"Solifenacin",4025202,"Elimination pattern",3,"Inflammatory Bowel Disease","Exposure control"
1341238,"Terazosin",924566,"tamsulosin",37119607,"Benign prostatic hyperplasia",3,"Inflammatory Bowel Disease","Exposure control"
902427,"Timolol",717136,"Neostigmine",35606985,"Glaucoma",3,"Inflammatory Bowel Disease","Exposure control"
1524674,"zoledronic acid",1512480,"Ibandronate",36416551,"Osteoporosis",3,"Inflammatory Bowel Disease","Exposure control"
708298,"Midazolam",965748,"Scopolamine",436962,"Insomnia",3,"Inflammatory Bowel Disease","Exposure control"
1103640,"Methadone",780442,"varenicline",36919128,"Drug dependence",3,"Inflammatory Bowel Disease","Exposure control"
781182,"ramelteon",965748,"Scopolamine",436962,"Insomnia",3,"Inflammatory Bowel Disease","Exposure control"
