"comparatorId","comparatorName","targetId","targetName","outcomeIds","outcomeNames","excludedCovariateConceptIds","targetDrug","comparatorDrug","establishedCvd","priorExposure","censorAtSwitch"
5372,"new users of any DPP-4 inhibitor, GLP-1 agonist, TZD, SU, insulin, or other select AHA with established cardiovascular disease",5368,"new users of empagliflozin or dapagliflozin with established cardiovascular disease","5432;5433","Heart failure;BKLE amputation","44785829;45774751;43013884;40239216;40166035;1580747;19122137;44816332;45774435;1583722;40170911;44506754;1529331;40164162;40164161;40164163;1510202;1502826;1516766;1560171;1502905;1559684;1525215;1597756;1550023;1567198;1596977;1547504;1516976;1544838;1594973;1502809;1502855;35602717;19097821;19059796;19033498;19001441;19001409;1530014;1515249","empagliflozin or dapagliflozin","any DPP-4 inhibitor, GLP-1 agonist, TZD, SU, insulin, or other select AHA","required","no restrictions",TRUE
5387,"new users of empagliflozin with at least 1 prior non-metformin AHA exposure in 365 days prior to first empagliflozin exposure",5373,"new users of canagliflozin with at least 1 prior non-metformin AHA exposure in 365 days prior to first canagliflozin exposure","5432;5433","Heart failure;BKLE amputation","43526465;45774751","canagliflozin","empagliflozin","not required","at least 1 prior non-metformin AHA exposure",TRUE
5388,"new users of empagliflozin with no prior non-metformin AHA exposure in 365 days prior to first empagliflozin exposure",5374,"new users of canagliflozin with no prior non-metformin AHA exposure in 365 days prior to first canagliflozin exposure","5432;5433","Heart failure;BKLE amputation","43526465;45774751","canagliflozin","empagliflozin","not required","no prior non-metformin AHA exposure",TRUE
5389,"new users of empagliflozin with no prior exposure to canagliflozin",5375,"new users of canagliflozin with no prior exposure to empagliflozin","5432;5433","Heart failure;BKLE amputation","43526465;45774751","canagliflozin","empagliflozin","not required","no prior exposure to comparator",TRUE
5391,"new users of empagliflozin with established cardiovascular disease and at least 1 prior non-metformin AHA exposure in 365 days prior to first empagliflozin exposure",5380,"new users of canagliflozin with established cardiovascular disease and at least 1 prior non-metformin AHA exposure in 365 days prior to first canagliflozin exposure","5432;5433","Heart failure;BKLE amputation","43526465;45774751","canagliflozin","empagliflozin","required","at least 1 prior non-metformin AHA exposure",TRUE
5392,"new users of empagliflozin with established cardiovascular disease and no prior non-metformin AHA exposure in 365 days prior to first empagliflozin exposure",5381,"new users of canagliflozin with established cardiovascular disease and no prior non-metformin AHA exposure in 365 days prior to first canagliflozin exposure","5432;5433","Heart failure;BKLE amputation","43526465;45774751","canagliflozin","empagliflozin","required","no prior non-metformin AHA exposure",TRUE
5393,"new users of empagliflozin with established cardiovascular disease and no prior exposure to canagliflozin",5382,"new users of canagliflozin with established cardiovascular disease and no prior exposure to empagliflozin","5432;5433","Heart failure;BKLE amputation","43526465;45774751","canagliflozin","empagliflozin","required","no prior exposure to comparator",TRUE
5394,"new users of dapagliflozin with at least 1 prior non-metformin AHA exposure in 365 days prior to first dapagliflozin exposure",5373,"new users of canagliflozin with at least 1 prior non-metformin AHA exposure in 365 days prior to first canagliflozin exposure","5432;5433","Heart failure;BKLE amputation","43526465;44785829","canagliflozin","dapagliflozin","not required","at least 1 prior non-metformin AHA exposure",TRUE
5395,"new users of dapagliflozin with no prior non-metformin AHA exposure in 365 days prior to first dapagliflozin exposure",5374,"new users of canagliflozin with no prior non-metformin AHA exposure in 365 days prior to first canagliflozin exposure","5432;5433","Heart failure;BKLE amputation","43526465;44785829","canagliflozin","dapagliflozin","not required","no prior non-metformin AHA exposure",TRUE
5396,"new users of dapagliflozin with no prior exposure to canagliflozin",5376,"new users of canagliflozin with no prior exposure to dapagliflozin","5432;5433","Heart failure;BKLE amputation","43526465;44785829","canagliflozin","dapagliflozin","not required","no prior exposure to comparator",TRUE
5397,"new users of dapagliflozin with established cardiovascular disease and at least 1 prior non-metformin AHA exposure in 365 days prior to first dapagliflozin exposure",5380,"new users of canagliflozin with established cardiovascular disease and at least 1 prior non-metformin AHA exposure in 365 days prior to first canagliflozin exposure","5432;5433","Heart failure;BKLE amputation","43526465;44785829","canagliflozin","dapagliflozin","required","at least 1 prior non-metformin AHA exposure",TRUE
5398,"new users of dapagliflozin with established cardiovascular disease and no prior non-metformin AHA exposure in 365 days prior to first dapagliflozin exposure",5381,"new users of canagliflozin with established cardiovascular disease and no prior non-metformin AHA exposure in 365 days prior to first canagliflozin exposure","5432;5433","Heart failure;BKLE amputation","43526465;44785829","canagliflozin","dapagliflozin","required","no prior non-metformin AHA exposure",TRUE
5399,"new users of dapagliflozin with established cardiovascular disease and no prior exposure to canagliflozin",5383,"new users of canagliflozin with established cardiovascular disease and no prior exposure to dapagliflozin","5432;5433","Heart failure;BKLE amputation","43526465;44785829","canagliflozin","dapagliflozin","required","no prior exposure to comparator",TRUE
5400,"new users of empagliflozin or dapagliflozin with at least 1 prior non-metformin AHA exposure in 365 days prior to first empagliflozin or dapagliflozin exposure",5373,"new users of canagliflozin with at least 1 prior non-metformin AHA exposure in 365 days prior to first canagliflozin exposure","5432;5433","Heart failure;BKLE amputation","43526465;44785829;45774751","canagliflozin","empagliflozin or dapagliflozin","not required","at least 1 prior non-metformin AHA exposure",TRUE
5401,"new users of empagliflozin or dapagliflozin with no prior non-metformin AHA exposure in 365 days prior to first empagliflozin or dapagliflozin exposure",5374,"new users of canagliflozin with no prior non-metformin AHA exposure in 365 days prior to first canagliflozin exposure","5432;5433","Heart failure;BKLE amputation","43526465;44785829;45774751","canagliflozin","empagliflozin or dapagliflozin","not required","no prior non-metformin AHA exposure",TRUE
5402,"new users of empagliflozin or dapagliflozin with no prior exposure to canagliflozin",5377,"new users of canagliflozin with no prior exposure to empagliflozin or dapagliflozin","5432;5433","Heart failure;BKLE amputation","43526465;44785829;45774751","canagliflozin","empagliflozin or dapagliflozin","not required","no prior exposure to comparator",TRUE
5405,"new users of empagliflozin or dapagliflozin with established cardiovascular disease and at least 1 prior non-metformin AHA exposure in 365 days prior to first empagliflozin or dapagliflozin exposure",5380,"new users of canagliflozin with established cardiovascular disease and at least 1 prior non-metformin AHA exposure in 365 days prior to first canagliflozin exposure","5432;5433","Heart failure;BKLE amputation","43526465;44785829;45774751","canagliflozin","empagliflozin or dapagliflozin","required","at least 1 prior non-metformin AHA exposure",TRUE
5406,"new users of empagliflozin or dapagliflozin with established cardiovascular disease and no prior non-metformin AHA exposure in 365 days prior to first empagliflozin or dapagliflozin exposure",5381,"new users of canagliflozin with established cardiovascular disease and no prior non-metformin AHA exposure in 365 days prior to first canagliflozin exposure","5432;5433","Heart failure;BKLE amputation","43526465;44785829;45774751","canagliflozin","empagliflozin or dapagliflozin","required","no prior non-metformin AHA exposure",TRUE
5407,"new users of empagliflozin or dapagliflozin with established cardiovascular disease and no prior exposure to canagliflozin",5384,"new users of canagliflozin with established cardiovascular disease and no prior exposure to empagliflozin or dapagliflozin","5432;5433","Heart failure;BKLE amputation","43526465;44785829;45774751","canagliflozin","empagliflozin or dapagliflozin","required","no prior exposure to comparator",TRUE
5410,"new users of any DPP-4 inhibitor, GLP-1 agonist, or other select AHA with at least 1 prior non-metformin AHA exposure in 365 days prior to first exposure of any DPP-4 inhibitor, GLP-1 agonist, or other select AHA",5373,"new users of canagliflozin with at least 1 prior non-metformin AHA exposure in 365 days prior to first canagliflozin exposure","5432;5433","Heart failure;BKLE amputation","43526465;43013884;40239216;40166035;1580747;19122137;44816332;45774435;1583722;40170911;44506754;1529331;40164162;40164161;40164163;1510202;1502826;1516766","canagliflozin","any DPP-4 inhibitor, GLP-1 agonist, or other select AHA","not required","at least 1 prior non-metformin AHA exposure",TRUE
5410,"new users of any DPP-4 inhibitor, GLP-1 agonist, or other select AHA with at least 1 prior non-metformin AHA exposure in 365 days prior to first exposure of any DPP-4 inhibitor, GLP-1 agonist, or other select AHA",5400,"new users of empagliflozin or dapagliflozin with at least 1 prior non-metformin AHA exposure in 365 days prior to first empagliflozin or dapagliflozin exposure","5432;5433","Heart failure;BKLE amputation","44785829;45774751;43013884;40239216;40166035;1580747;19122137;44816332;45774435;1583722;40170911;44506754;1529331;40164162;40164161;40164163;1510202;1502826;1516766","empagliflozin or dapagliflozin","any DPP-4 inhibitor, GLP-1 agonist, or other select AHA","not required","at least 1 prior non-metformin AHA exposure",TRUE
5411,"new users of any DPP-4 inhibitor, GLP-1 agonist, or other select AHA with no prior non-metformin AHA exposure in 365 days prior to first exposure of any DPP-4 inhibitor, GLP-1 agonist, or other select AHA",5401,"new users of empagliflozin or dapagliflozin with no prior non-metformin AHA exposure in 365 days prior to first empagliflozin or dapagliflozin exposure","5432;5433","Heart failure;BKLE amputation","44785829;45774751;43013884;40239216;40166035;1580747;19122137;44816332;45774435;1583722;40170911;44506754;1529331;40164162;40164161;40164163;1510202;1502826;1516766","empagliflozin or dapagliflozin","any DPP-4 inhibitor, GLP-1 agonist, or other select AHA","not required","no prior non-metformin AHA exposure",TRUE
5411,"new users of any DPP-4 inhibitor, GLP-1 agonist, or other select AHA with no prior non-metformin AHA exposure in 365 days prior to first exposure of any DPP-4 inhibitor, GLP-1 agonist, or other select AHA",5374,"new users of canagliflozin with no prior non-metformin AHA exposure in 365 days prior to first canagliflozin exposure","5432;5433","Heart failure;BKLE amputation","43526465;43013884;40239216;40166035;1580747;19122137;44816332;45774435;1583722;40170911;44506754;1529331;40164162;40164161;40164163;1510202;1502826;1516766","canagliflozin","any DPP-4 inhibitor, GLP-1 agonist, or other select AHA","not required","no prior non-metformin AHA exposure",TRUE
5412,"new users of any DPP-4 inhibitor, GLP-1 agonist, or other select AHA with no prior exposure to canagliflozin",5378,"new users of canagliflozin with no prior exposure to any DPP-4 inhibitor, GLP-1 agonist, or other select AHA","5432;5433","Heart failure;BKLE amputation","43526465;43013884;40239216;40166035;1580747;19122137;44816332;45774435;1583722;40170911;44506754;1529331;40164162;40164161;40164163;1510202;1502826;1516766","canagliflozin","any DPP-4 inhibitor, GLP-1 agonist, or other select AHA","not required","no prior exposure to comparator",TRUE
5413,"new users of any DPP-4 inhibitor, GLP-1 agonist, or other select AHA with no prior exposure to empagliflozin or dapagliflozin",5403,"new users of empagliflozin or dapagliflozin with no prior exposure to any DPP-4 inhibitor, GLP-1 agonist, or other select AHA","5432;5433","Heart failure;BKLE amputation","44785829;45774751;43013884;40239216;40166035;1580747;19122137;44816332;45774435;1583722;40170911;44506754;1529331;40164162;40164161;40164163;1510202;1502826;1516766","empagliflozin or dapagliflozin","any DPP-4 inhibitor, GLP-1 agonist, or other select AHA","not required","no prior exposure to comparator",TRUE
5414,"new users of any DPP-4 inhibitor, GLP-1 agonist, or other select AHA with established cardiovascular disease and at least 1 prior non-metformin AHA exposure in 365 days prior to first exposure of any DPP-4 inhibitor, GLP-1 agonist, or other select AHA",5405,"new users of empagliflozin or dapagliflozin with established cardiovascular disease and at least 1 prior non-metformin AHA exposure in 365 days prior to first empagliflozin or dapagliflozin exposure","5432;5433","Heart failure;BKLE amputation","44785829;45774751;43013884;40239216;40166035;1580747;19122137;44816332;45774435;1583722;40170911;44506754;1529331;40164162;40164161;40164163;1510202;1502826;1516766","empagliflozin or dapagliflozin","any DPP-4 inhibitor, GLP-1 agonist, or other select AHA","required","at least 1 prior non-metformin AHA exposure",TRUE
5414,"new users of any DPP-4 inhibitor, GLP-1 agonist, or other select AHA with established cardiovascular disease and at least 1 prior non-metformin AHA exposure in 365 days prior to first exposure of any DPP-4 inhibitor, GLP-1 agonist, or other select AHA",5380,"new users of canagliflozin with established cardiovascular disease and at least 1 prior non-metformin AHA exposure in 365 days prior to first canagliflozin exposure","5432;5433","Heart failure;BKLE amputation","43526465;43013884;40239216;40166035;1580747;19122137;44816332;45774435;1583722;40170911;44506754;1529331;40164162;40164161;40164163;1510202;1502826;1516766","canagliflozin","any DPP-4 inhibitor, GLP-1 agonist, or other select AHA","required","at least 1 prior non-metformin AHA exposure",TRUE
5415,"new users of any DPP-4 inhibitor, GLP-1 agonist, or other select AHA with established cardiovascular disease and no prior non-metformin AHA exposure in 365 days prior to first exposure of any DPP-4 inhibitor, GLP-1 agonist, or other select AHA",5406,"new users of empagliflozin or dapagliflozin with established cardiovascular disease and no prior non-metformin AHA exposure in 365 days prior to first empagliflozin or dapagliflozin exposure","5432;5433","Heart failure;BKLE amputation","44785829;45774751;43013884;40239216;40166035;1580747;19122137;44816332;45774435;1583722;40170911;44506754;1529331;40164162;40164161;40164163;1510202;1502826;1516766","empagliflozin or dapagliflozin","any DPP-4 inhibitor, GLP-1 agonist, or other select AHA","required","no prior non-metformin AHA exposure",TRUE
5415,"new users of any DPP-4 inhibitor, GLP-1 agonist, or other select AHA with established cardiovascular disease and no prior non-metformin AHA exposure in 365 days prior to first exposure of any DPP-4 inhibitor, GLP-1 agonist, or other select AHA",5381,"new users of canagliflozin with established cardiovascular disease and no prior non-metformin AHA exposure in 365 days prior to first canagliflozin exposure","5432;5433","Heart failure;BKLE amputation","43526465;43013884;40239216;40166035;1580747;19122137;44816332;45774435;1583722;40170911;44506754;1529331;40164162;40164161;40164163;1510202;1502826;1516766","canagliflozin","any DPP-4 inhibitor, GLP-1 agonist, or other select AHA","required","no prior non-metformin AHA exposure",TRUE
5417,"new users of any DPP-4 inhibitor, GLP-1 agonist, or other select AHA with established cardiovascular disease and no prior exposure to empagliflozin or dapagliflozin",5408,"new users of empagliflozin or dapagliflozin with established cardiovascular disease and no prior exposure to any DPP-4 inhibitor, GLP-1 agonist, or other select AHA","5432;5433","Heart failure;BKLE amputation","44785829;45774751;43013884;40239216;40166035;1580747;19122137;44816332;45774435;1583722;40170911;44506754;1529331;40164162;40164161;40164163;1510202;1502826;1516766","empagliflozin or dapagliflozin","any DPP-4 inhibitor, GLP-1 agonist, or other select AHA","required","no prior exposure to comparator",TRUE
5418,"new users of any DPP-4 inhibitor, GLP-1 agonist, TZD, SU, insulin, or other select AHA with at least 1 prior non-metformin AHA exposure in 365 days prior to first exposure of any DPP-4 inhibitor, GLP-1 agonist, TZD, SU, insulin, or other select AHA ",5373,"new users of canagliflozin with at least 1 prior non-metformin AHA exposure in 365 days prior to first canagliflozin exposure","5432;5433","Heart failure;BKLE amputation","43526465;43013884;40239216;40166035;1580747;19122137;44816332;45774435;1583722;40170911;44506754;1529331;40164162;40164161;40164163;1510202;1502826;1516766;1560171;1502905;1559684;1525215;1597756;1550023;1567198;1596977;1547504;1516976;1544838;1594973;1502809;1502855;35602717;19097821;19059796;19033498;19001441;19001409;1530014;1515249","canagliflozin","any DPP-4 inhibitor, GLP-1 agonist, TZD, SU, insulin, or other select AHA","not required","at least 1 prior non-metformin AHA exposure",TRUE
5418,"new users of any DPP-4 inhibitor, GLP-1 agonist, TZD, SU, insulin, or other select AHA with at least 1 prior non-metformin AHA exposure in 365 days prior to first exposure of any DPP-4 inhibitor, GLP-1 agonist, TZD, SU, insulin, or other select AHA ",5400,"new users of empagliflozin or dapagliflozin with at least 1 prior non-metformin AHA exposure in 365 days prior to first empagliflozin or dapagliflozin exposure","5432;5433","Heart failure;BKLE amputation","44785829;45774751;43013884;40239216;40166035;1580747;19122137;44816332;45774435;1583722;40170911;44506754;1529331;40164162;40164161;40164163;1510202;1502826;1516766;1560171;1502905;1559684;1525215;1597756;1550023;1567198;1596977;1547504;1516976;1544838;1594973;1502809;1502855;35602717;19097821;19059796;19033498;19001441;19001409;1530014;1515249","empagliflozin or dapagliflozin","any DPP-4 inhibitor, GLP-1 agonist, TZD, SU, insulin, or other select AHA","not required","at least 1 prior non-metformin AHA exposure",TRUE
5419,"new users of any DPP-4 inhibitor, GLP-1 agonist, TZD, SU, insulin, or other select AHA with no prior non-metformin AHA exposure in 365 days prior to first exposure of any DPP-4 inhibitor, GLP-1 agonist, TZD, SU, insulin, or other select AHA ",5401,"new users of empagliflozin or dapagliflozin with no prior non-metformin AHA exposure in 365 days prior to first empagliflozin or dapagliflozin exposure","5432;5433","Heart failure;BKLE amputation","44785829;45774751;43013884;40239216;40166035;1580747;19122137;44816332;45774435;1583722;40170911;44506754;1529331;40164162;40164161;40164163;1510202;1502826;1516766;1560171;1502905;1559684;1525215;1597756;1550023;1567198;1596977;1547504;1516976;1544838;1594973;1502809;1502855;35602717;19097821;19059796;19033498;19001441;19001409;1530014;1515249","empagliflozin or dapagliflozin","any DPP-4 inhibitor, GLP-1 agonist, TZD, SU, insulin, or other select AHA","not required","no prior non-metformin AHA exposure",TRUE
5419,"new users of any DPP-4 inhibitor, GLP-1 agonist, TZD, SU, insulin, or other select AHA with no prior non-metformin AHA exposure in 365 days prior to first exposure of any DPP-4 inhibitor, GLP-1 agonist, TZD, SU, insulin, or other select AHA ",5374,"new users of canagliflozin with no prior non-metformin AHA exposure in 365 days prior to first canagliflozin exposure","5432;5433","Heart failure;BKLE amputation","43526465;43013884;40239216;40166035;1580747;19122137;44816332;45774435;1583722;40170911;44506754;1529331;40164162;40164161;40164163;1510202;1502826;1516766;1560171;1502905;1559684;1525215;1597756;1550023;1567198;1596977;1547504;1516976;1544838;1594973;1502809;1502855;35602717;19097821;19059796;19033498;19001441;19001409;1530014;1515249","canagliflozin","any DPP-4 inhibitor, GLP-1 agonist, TZD, SU, insulin, or other select AHA","not required","no prior non-metformin AHA exposure",TRUE
5420,"new users of any DPP-4 inhibitor, GLP-1 agonist, TZD, SU, insulin, or other select AHA with no prior exposure to canagliflozin",5379,"new users of canagliflozin with no prior exposure to any DPP-4 inhibitor, GLP-1 agonist, TZD, SU, insulin, or other select AHA","5432;5433","Heart failure;BKLE amputation","43526465;43013884;40239216;40166035;1580747;19122137;44816332;45774435;1583722;40170911;44506754;1529331;40164162;40164161;40164163;1510202;1502826;1516766;1560171;1502905;1559684;1525215;1597756;1550023;1567198;1596977;1547504;1516976;1544838;1594973;1502809;1502855;35602717;19097821;19059796;19033498;19001441;19001409;1530014;1515249","canagliflozin","any DPP-4 inhibitor, GLP-1 agonist, TZD, SU, insulin, or other select AHA","not required","no prior exposure to comparator",TRUE
5421,"new users of any DPP-4 inhibitor, GLP-1 agonist, TZD, SU, insulin, or other select AHA with no prior exposure to empagliflozin or dapagliflozin",5404,"new users of empagliflozin or dapagliflozin with no prior exposure to any DPP-4 inhibitor, GLP-1 agonist, TZD, SU, insulin, or other select AHA","5432;5433","Heart failure;BKLE amputation","44785829;45774751;43013884;40239216;40166035;1580747;19122137;44816332;45774435;1583722;40170911;44506754;1529331;40164162;40164161;40164163;1510202;1502826;1516766;1560171;1502905;1559684;1525215;1597756;1550023;1567198;1596977;1547504;1516976;1544838;1594973;1502809;1502855;35602717;19097821;19059796;19033498;19001441;19001409;1530014;1515249","empagliflozin or dapagliflozin","any DPP-4 inhibitor, GLP-1 agonist, TZD, SU, insulin, or other select AHA","not required","no prior exposure to comparator",TRUE
5422,"new users of any DPP-4 inhibitor, GLP-1 agonist, TZD, SU, insulin, or other select AHA with established cardiovascular disease and at least 1 prior non-metformin AHA exposure in 365 days prior to first exposure of any DPP-4 inhibitor, GLP-1 agonist, TZD, SU, insulin, or other select AHA ",5380,"new users of canagliflozin with established cardiovascular disease and at least 1 prior non-metformin AHA exposure in 365 days prior to first canagliflozin exposure","5432;5433","Heart failure;BKLE amputation","43526465;43013884;40239216;40166035;1580747;19122137;44816332;45774435;1583722;40170911;44506754;1529331;40164162;40164161;40164163;1510202;1502826;1516766;1560171;1502905;1559684;1525215;1597756;1550023;1567198;1596977;1547504;1516976;1544838;1594973;1502809;1502855;35602717;19097821;19059796;19033498;19001441;19001409;1530014;1515249","canagliflozin","any DPP-4 inhibitor, GLP-1 agonist, TZD, SU, insulin, or other select AHA","required","at least 1 prior non-metformin AHA exposure",TRUE
5422,"new users of any DPP-4 inhibitor, GLP-1 agonist, TZD, SU, insulin, or other select AHA with established cardiovascular disease and at least 1 prior non-metformin AHA exposure in 365 days prior to first exposure of any DPP-4 inhibitor, GLP-1 agonist, TZD, SU, insulin, or other select AHA ",5405,"new users of empagliflozin or dapagliflozin with established cardiovascular disease and at least 1 prior non-metformin AHA exposure in 365 days prior to first empagliflozin or dapagliflozin exposure","5432;5433","Heart failure;BKLE amputation","44785829;45774751;43013884;40239216;40166035;1580747;19122137;44816332;45774435;1583722;40170911;44506754;1529331;40164162;40164161;40164163;1510202;1502826;1516766;1560171;1502905;1559684;1525215;1597756;1550023;1567198;1596977;1547504;1516976;1544838;1594973;1502809;1502855;35602717;19097821;19059796;19033498;19001441;19001409;1530014;1515249","empagliflozin or dapagliflozin","any DPP-4 inhibitor, GLP-1 agonist, TZD, SU, insulin, or other select AHA","required","at least 1 prior non-metformin AHA exposure",TRUE
5426,"new users of any DPP-4 inhibitor, GLP-1 agonist, TZD, SU, insulin, or other select AHA with established cardiovascular disease and no prior non-metformin AHA exposure in 365 days prior to first exposure of any DPP-4 inhibitor, GLP-1 agonist, TZD, SU, insulin, or other select AHA ",5406,"new users of empagliflozin or dapagliflozin with established cardiovascular disease and no prior non-metformin AHA exposure in 365 days prior to first empagliflozin or dapagliflozin exposure","5432;5433","Heart failure;BKLE amputation","44785829;45774751;43013884;40239216;40166035;1580747;19122137;44816332;45774435;1583722;40170911;44506754;1529331;40164162;40164161;40164163;1510202;1502826;1516766;1560171;1502905;1559684;1525215;1597756;1550023;1567198;1596977;1547504;1516976;1544838;1594973;1502809;1502855;35602717;19097821;19059796;19033498;19001441;19001409;1530014;1515249","empagliflozin or dapagliflozin","any DPP-4 inhibitor, GLP-1 agonist, TZD, SU, insulin, or other select AHA","required","no prior non-metformin AHA exposure",TRUE
5426,"new users of any DPP-4 inhibitor, GLP-1 agonist, TZD, SU, insulin, or other select AHA with established cardiovascular disease and no prior non-metformin AHA exposure in 365 days prior to first exposure of any DPP-4 inhibitor, GLP-1 agonist, TZD, SU, insulin, or other select AHA ",5381,"new users of canagliflozin with established cardiovascular disease and no prior non-metformin AHA exposure in 365 days prior to first canagliflozin exposure","5432;5433","Heart failure;BKLE amputation","43526465;43013884;40239216;40166035;1580747;19122137;44816332;45774435;1583722;40170911;44506754;1529331;40164162;40164161;40164163;1510202;1502826;1516766;1560171;1502905;1559684;1525215;1597756;1550023;1567198;1596977;1547504;1516976;1544838;1594973;1502809;1502855;35602717;19097821;19059796;19033498;19001441;19001409;1530014;1515249","canagliflozin","any DPP-4 inhibitor, GLP-1 agonist, TZD, SU, insulin, or other select AHA","required","no prior non-metformin AHA exposure",TRUE
